Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
17/18,24/09/17,Cagliari,Chievo,0,2,A,0,0,D,15,16,3,4,25,16,6,2,2,2,1,0
17/18,24/09/17,Crotone,Benevento,2,0,H,1,0,H,17,16,4,2,12,12,2,7,0,0,0,0
17/18,24/09/17,Fiorentina,Atalanta,1,1,D,1,0,H,10,16,2,5,22,11,3,8,2,5,0,0
17/18,24/09/17,Inter,Genoa,1,0,H,0,0,D,14,9,7,3,10,14,8,4,0,2,0,2
17/18,24/09/17,Sampdoria,Milan,2,0,H,0,0,D,12,6,4,0,13,17,7,4,0,2,0,0
17/18,24/09/17,Sassuolo,Bologna,0,1,A,0,0,D,8,8,3,4,11,15,3,6,3,4,1,0
17/18,24/09/17,Verona,Lazio,0,3,A,0,2,A,9,12,2,5,8,13,3,4,2,2,0,0
17/18,30/09/17,Genoa,Bologna,0,1,A,0,0,D,18,8,7,4,15,9,10,3,4,2,0,0
17/18,30/09/17,Udinese,Sampdoria,4,0,H,1,0,H,15,13,7,2,12,10,3,4,4,2,0,1
17/18,01/10/17,Atalanta,Juventus,2,2,D,1,2,A,7,16,3,8,22,11,0,3,3,1,0,0
17/18,01/10/17,Benevento,Inter,1,2,A,1,2,A,11,22,2,7,13,10,1,11,2,3,0,0
17/18,01/10/17,Chievo,Fiorentina,2,1,H,1,1,D,13,22,6,4,10,10,3,7,2,1,0,0
17/18,01/10/17,Lazio,Sassuolo,6,1,H,1,1,D,22,8,13,6,13,8,5,4,2,3,0,0
17/18,01/10/17,Milan,Roma,0,2,A,0,0,D,17,11,3,6,15,8,5,5,3,1,1,0
17/18,01/10/17,Napoli,Cagliari,3,0,H,2,0,H,25,4,6,0,6,10,7,2,0,0,0,0
17/18,01/10/17,Spal,Crotone,1,1,D,1,0,H,17,13,5,4,12,17,12,6,2,1,0,0
17/18,01/10/17,Torino,Verona,2,2,D,2,0,H,12,20,5,7,11,15,6,5,1,4,0,1
17/18,14/10/17,Juventus,Lazio,1,2,A,1,0,H,18,10,6,5,10,14,4,2,2,1,0,0
17/18,14/10/17,Roma,Napoli,0,1,A,0,1,A,10,16,2,6,12,9,5,2,2,2,0,0
17/18,15/10/17,Bologna,Spal,2,1,H,1,0,H,14,7,2,2,20,14,2,5,2,2,0,0
17/18,15/10/17,Cagliari,Genoa,2,3,A,0,2,A,12,18,7,11,13,14,6,7,2,0,0,0
17/18,15/10/17,Crotone,Torino,2,2,D,1,0,H,9,21,3,9,15,7,3,8,1,0,0,0
17/18,15/10/17,Fiorentina,Udinese,2,1,H,1,0,H,13,8,6,2,11,14,4,4,1,1,0,0
17/18,15/10/17,Inter,Milan,3,2,H,1,0,H,15,21,6,6,17,12,2,7,6,2,0,0
17/18,15/10/17,Sampdoria,Atalanta,3,1,H,0,1,A,11,21,7,11,10,14,4,6,3,3,0,0
17/18,15/10/17,Sassuolo,Chievo,0,0,D,0,0,D,18,9,4,2,8,15,6,8,2,0,0,0
17/18,16/10/17,Verona,Benevento,1,0,H,0,0,D,13,8,3,1,15,12,5,3,4,3,0,1
17/18,21/10/17,Napoli,Inter,0,0,D,0,0,D,12,11,3,2,9,9,5,7,1,1,0,0
17/18,21/10/17,Sampdoria,Crotone,5,0,H,3,0,H,6,8,5,2,11,20,4,0,1,3,0,0
17/18,22/10/17,Atalanta,Bologna,1,0,H,0,0,D,20,6,2,0,12,15,10,3,3,4,0,1
17/18,22/10/17,Benevento,Fiorentina,0,3,A,0,1,A,9,14,1,7,16,18,3,5,2,1,0,0
17/18,22/10/17,Chievo,Verona,3,2,H,2,1,H,22,11,8,3,8,11,5,4,2,3,0,1
